# ------------------------------------------------------------------------
# Noise and sensitivity radiance spectrum
# NASA-GSFC Planetary Spectrum Generator (PSG) (Villanueva et al. 2015)
# Background sky sources include: CMB, Zodiacal dust (emitted and reflected), and Cirrus
# Synthesized on Sun Jun 10 15:35:49 2018
# ------------------------------------------------------------------------
# Spectral unit: Wavelength [um]
# Radiance unit: Contrast [radiance ratio w.r.t. parent star]
# Wave/freq Total Source Detector Telescope Background
6.536570168e-01  4.35051e-04  4.33625e-04  3.51970e-05  4.28982e-96  1.24011e-07
6.545908125e-01  4.36278e-04  4.34836e-04  3.54444e-05  5.90091e-96  1.24963e-07
6.555259422e-01  4.39514e-04  4.38036e-04  3.60194e-05  8.18748e-96  1.27070e-07
6.564624079e-01  4.85697e-04  4.83701e-04  4.39836e-05  1.36444e-95  1.55265e-07
6.574002113e-01  4.39937e-04  4.38446e-04  3.61900e-05  1.53146e-95  1.27833e-07
6.583393545e-01  4.29092e-04  4.27704e-04  3.44875e-05  1.98994e-95  1.21895e-07
6.592798393e-01  4.33371e-04  4.31937e-04  3.52238e-05  2.77001e-95  1.24575e-07
6.602216676e-01  4.26308e-04  4.24939e-04  3.41405e-05  3.65754e-95  1.20818e-07
6.611648414e-01  4.26867e-04  4.25488e-04  3.42777e-05  5.00049e-95  1.21378e-07
6.621093626e-01  4.22476e-04  4.21135e-04  3.36279e-05  6.67712e-95  1.19150e-07
6.630552331e-01  4.24423e-04  4.23060e-04  3.39844e-05  9.18049e-95  1.20486e-07
6.640024549e-01  4.25512e-04  4.24135e-04  3.42062e-05  1.25659e-94  1.21345e-07
6.649510298e-01  4.23371e-04  4.22011e-04  3.39128e-05  1.69343e-94  1.20376e-07
6.659009599e-01  4.20149e-04  4.18816e-04  3.34489e-05  2.26938e-94  1.18801e-07
6.668522470e-01  4.23029e-04  4.21664e-04  3.39538e-05  3.12855e-94  1.20665e-07
6.678048930e-01  4.20452e-04  4.19108e-04  3.35913e-05  4.20165e-94  1.19447e-07
6.687589000e-01  4.15645e-04  4.14343e-04  3.28788e-05  5.58029e-94  1.16982e-07
6.697142699e-01  4.17746e-04  4.16420e-04  3.32567e-05  7.65557e-94  1.18395e-07
6.706710045e-01  4.14849e-04  4.13547e-04  3.28462e-05  1.02507e-93  1.17001e-07
6.716291060e-01  4.20365e-04  4.19007e-04  3.37674e-05  1.42805e-93  1.20352e-07
6.725885761e-01  4.14814e-04  4.13504e-04  3.29334e-05  1.88655e-93  1.17446e-07
6.735494169e-01  4.11899e-04  4.10613e-04  3.25208e-05  2.52227e-93  1.16040e-07
6.745116304e-01  4.12610e-04  4.11314e-04  3.26786e-05  3.43008e-93  1.16669e-07
6.754752184e-01  4.12995e-04  4.11692e-04  3.27854e-05  4.65525e-93  1.17116e-07
6.764401830e-01  4.09254e-04  4.07982e-04  3.22432e-05  6.19061e-93  1.15243e-07
6.774065262e-01  4.10775e-04  4.09485e-04  3.25276e-05  8.44094e-93  1.16324e-07
6.783742498e-01  4.09341e-04  4.08061e-04  3.23479e-05  1.13407e-92  1.15745e-07
6.793433558e-01  4.08946e-04  4.07666e-04  3.23315e-05  1.53070e-92  1.15749e-07
6.803138463e-01  4.06385e-04  4.05125e-04  3.19752e-05  2.04343e-92  1.14536e-07
6.812857233e-01  4.08836e-04  4.07550e-04  3.24054e-05  2.79419e-92  1.16140e-07
6.822589886e-01  4.04412e-04  4.03163e-04  3.17569e-05  3.69304e-92  1.13876e-07
6.832336443e-01  4.03678e-04  4.02432e-04  3.16870e-05  4.96761e-92  1.13686e-07
6.842096924e-01  4.07315e-04  4.06032e-04  3.23025e-05  6.82396e-92  1.15956e-07
