results_atm.txt
# ------------------------------------------------------------------------
# Atmospheric radiances synthesized with PUMAS (Villanueva et al. 2016, Smith et al. 2009, Edwards 1992)
# Molecular abundance atmprofile: ExoEarth like Gatlin b - CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(3.71-5.00um)
# ------------------------------------------------------------------------
# Wave/freq ExoEarth-like-Gatlin-b Transit Planet
2.633067530e+00 -1.65199e-03 -1.65199e-03  1.15568e-16
2.634713197e+00 -1.64271e-03 -1.64271e-03  1.79449e-16
2.636359893e+00 -1.64460e-03 -1.64460e-03  2.10379e-17
2.638007618e+00 -1.63492e-03 -1.63492e-03  2.11086e-17
2.639656373e+00 -1.54566e-03 -1.54566e-03  1.38309e-17
2.641306158e+00 -1.62677e-03 -1.62677e-03  1.59299e-16
2.642956974e+00 -1.60809e-03 -1.60809e-03  1.25207e-16
2.644608822e+00 -1.61810e-03 -1.61810e-03  2.88986e-17
2.646261703e+00 -1.61178e-03 -1.61178e-03  3.26408e-16
2.647915616e+00 -1.59213e-03 -1.59213e-03  7.27979e-18
2.649570564e+00 -1.60359e-03 -1.60359e-03  6.12143e-18
2.651226545e+00 -1.58926e-03 -1.58926e-03  8.77718e-17
2.652883562e+00 -1.59358e-03 -1.59358e-03  2.56085e-16
2.654541614e+00 -1.54871e-03 -1.54871e-03  3.39761e-17
2.656200702e+00 -1.57964e-03 -1.57964e-03  2.36770e-16
2.657860828e+00 -1.57682e-03 -1.57682e-03  6.84800e-17
2.659521991e+00 -1.57009e-03 -1.57009e-03  2.31661e-16
2.661184192e+00 -1.56542e-03 -1.56542e-03  1.05652e-16
2.662847432e+00 -1.54505e-03 -1.54505e-03  1.96553e-16
2.664511712e+00 -1.51928e-03 -1.51928e-03  5.68342e-16
2.666177032e+00 -1.53100e-03 -1.53100e-03  4.87067e-16
2.667843392e+00 -1.54648e-03 -1.54648e-03  4.31186e-16
2.669510795e+00 -1.54086e-03 -1.54086e-03  3.56760e-16
2.671179239e+00 -1.53614e-03 -1.53614e-03  7.66675e-16
2.672848726e+00 -1.53331e-03 -1.53331e-03  3.25330e-16
2.674519256e+00 -1.52475e-03 -1.52475e-03  2.22052e-16
2.676190831e+00 -1.51980e-03 -1.51980e-03  5.06154e-16
2.677863450e+00 -1.51853e-03 -1.51853e-03  4.64459e-16
2.679537115e+00 -1.51046e-03 -1.51046e-03  4.52582e-16
2.681211825e+00 -1.50743e-03 -1.50743e-03  1.17748e-16
2.682887583e+00 -1.50170e-03 -1.50170e-03  4.12814e-16
2.684564388e+00 -1.49848e-03 -1.49848e-03  2.56174e-16
2.686242240e+00 -1.49342e-03 -1.49342e-03  3.11500e-16
2.687921142e+00 -1.48092e-03 -1.48092e-03  3.44144e-18
2.689601092e+00 -1.48498e-03 -1.48498e-03  1.91760e-16
2.691282093e+00 -1.47695e-03 -1.47695e-03  1.02740e-16
2.692964144e+00 -1.47073e-03 -1.47073e-03  3.34096e-16
2.694647247e+00 -1.46353e-03 -1.46353e-03  3.65112e-16
2.696331402e+00 -1.45497e-03 -1.45497e-03  3.97161e-16
2.698016609e+00 -1.46021e-03 -1.46021e-03  1.37284e-16
2.699702869e+00 -1.45260e-03 -1.45260e-03  9.10703e-18
2.701390183e+00 -1.44609e-03 -1.44609e-03  4.84363e-16
2.703078552e+00 -1.44268e-03 -1.44268e-03  3.28658e-17
2.704767976e+00 -1.44159e-03 -1.44159e-03  1.07867e-16
2.706458456e+00 -1.42228e-03 -1.42228e-03  1.43803e-16
2.708149993e+00 -1.42466e-03 -1.42466e-03  3.14011e-16
2.709842587e+00 -1.42662e-03 -1.42662e-03  6.48111e-16
2.711536238e+00 -1.39925e-03 -1.39925e-03  4.92223e-16
2.713230948e+00 -1.41765e-03 -1.41765e-03  0.00000e+00
2.714926718e+00 -1.41292e-03 -1.41292e-03  1.59325e-16
2.716623547e+00 -1.40724e-03 -1.40724e-03  1.22479e-16
2.718321437e+00 -1.40322e-03 -1.40322e-03  3.75347e-16
2.720020387e+00 -1.39697e-03 -1.39697e-03  4.03542e-16
2.721720400e+00 -1.39018e-03 -1.39018e-03  7.61938e-16
2.723421475e+00 -1.39103e-03 -1.39103e-03  3.82349e-16
2.725123614e+00 -1.38388e-03 -1.38388e-03  3.80375e-16
2.726826816e+00 -1.36379e-03 -1.36379e-03  0.00000e+00
2.728531083e+00 -1.37606e-03 -1.37606e-03  3.84890e-17
2.730236415e+00 -1.36987e-03 -1.36987e-03  1.35558e-17
2.731942813e+00 -1.36727e-03 -1.36727e-03  1.36749e-16
2.733650277e+00 -1.35910e-03 -1.35910e-03  1.30200e-17
