results/api86_atm.txt
# ------------------------------------------------------------------------
# Atmospheric radiances synthesized with PUMAS (Villanueva et al. 2016, Smith et al. 2009, Edwards 1992)
# Molecular abundance profile: TRAPPIST-1 e - CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.71-5.00um)
# ------------------------------------------------------------------------
# Wave/freq TRAPPIST-1-e Transit Planet
5.175904171e+00 -1.24606e-05 -1.24607e-05  7.81843e-11
5.178060798e+00 -1.31719e-05 -1.31721e-05  2.11005e-10
5.180218323e+00 -1.25056e-05 -1.25061e-05  4.28919e-10
5.182376747e+00 -1.21044e-05 -1.21047e-05  2.38823e-10
5.184536071e+00 -1.32841e-05 -1.32845e-05  4.13824e-10
5.186696294e+00 -1.21128e-05 -1.21130e-05  1.63591e-10
5.188857418e+00 -1.22818e-05 -1.22821e-05  3.13929e-10
5.191019442e+00 -1.34243e-05 -1.34244e-05  1.08796e-10
5.193182366e+00 -1.28488e-05 -1.28491e-05  2.50071e-10
5.195346192e+00 -1.17729e-05 -1.17729e-05  7.49906e-11
5.197510920e+00 -1.20446e-05 -1.20448e-05  1.98127e-10
5.199676550e+00 -1.15419e-05 -1.15419e-05  5.27937e-11
5.201843081e+00 -1.17700e-05 -1.17701e-05  1.30478e-10
5.204010516e+00 -1.20054e-05 -1.20054e-05  3.94322e-11
5.206178854e+00 -1.23787e-05 -1.23788e-05  1.62157e-10
5.208348095e+00 -1.28430e-05 -1.28430e-05  4.85366e-11
5.210518240e+00 -1.24508e-05 -1.24510e-05  1.16217e-10
5.212689289e+00 -1.16790e-05 -1.16791e-05  3.91500e-11
5.214861243e+00 -1.16304e-05 -1.16305e-05  5.71033e-11
5.217034102e+00 -1.29864e-05 -1.29865e-05  7.58986e-11
5.219207866e+00 -1.20112e-05 -1.20113e-05  1.20383e-10
5.221382536e+00 -1.15359e-05 -1.15360e-05  1.01647e-10
5.223558112e+00 -1.17509e-05 -1.17510e-05  1.01680e-10
5.225734595e+00 -1.19667e-05 -1.19668e-05  1.32642e-10
5.227911984e+00 -1.16732e-05 -1.16733e-05  8.21786e-11
5.230090281e+00 -1.19919e-05 -1.19920e-05  1.66336e-10
5.232269485e+00 -1.20049e-05 -1.20050e-05  6.43075e-11
5.234449597e+00 -1.18659e-05 -1.18661e-05  1.73588e-10
5.236630618e+00 -1.18122e-05 -1.18122e-05  5.99702e-11
5.238812547e+00 -1.21515e-05 -1.21517e-05  2.11754e-10
5.240995386e+00 -1.05238e-05 -1.05238e-05  6.18210e-11
5.243179134e+00 -1.12122e-05 -1.12125e-05  2.35251e-10
5.245363792e+00 -1.16440e-05 -1.16441e-05  7.25436e-11
5.247549360e+00 -1.12397e-05 -1.12399e-05  2.30966e-10
5.249735839e+00 -1.23944e-05 -1.23945e-05  9.44026e-11
5.251923229e+00 -1.14523e-05 -1.14525e-05  2.34923e-10
5.254111531e+00 -1.13328e-05 -1.13329e-05  1.19054e-10
5.256300744e+00 -1.17389e-05 -1.17391e-05  1.43766e-10
5.258490869e+00 -1.09098e-05 -1.09099e-05  1.44513e-10
5.260681907e+00 -1.23250e-05 -1.23253e-05  2.60198e-10
5.262873858e+00 -1.16277e-05 -1.16280e-05  3.03424e-10
5.265066722e+00 -1.23467e-05 -1.23469e-05  2.12833e-10
5.267260500e+00 -1.12537e-05 -1.12541e-05  3.64452e-10
5.269455191e+00 -1.11725e-05 -1.11727e-05  1.51550e-10
5.271650798e+00 -1.07921e-05 -1.07923e-05  1.51297e-10
5.273847319e+00 -1.14149e-05 -1.14151e-05  1.79630e-10
5.276044755e+00 -1.10473e-05 -1.10476e-05  2.33366e-10
5.278243107e+00 -1.07205e-05 -1.07208e-05  2.49499e-10
5.280442375e+00 -1.07001e-05 -1.07006e-05  4.82911e-10
5.282642560e+00 -1.08872e-05 -1.08876e-05  4.14495e-10
5.284843661e+00 -1.04595e-05 -1.04601e-05  5.18887e-10
5.287045679e+00 -1.09872e-05 -1.09877e-05  4.94135e-10
5.289248615e+00 -1.17549e-05 -1.17553e-05  3.59435e-10
5.291452468e+00 -1.15114e-05 -1.15116e-05  2.20372e-10
5.293657240e+00 -1.03553e-05 -1.03556e-05  2.28013e-10
5.295862930e+00 -1.07644e-05 -1.07649e-05  5.22684e-10
5.298069540e+00 -1.04981e-05 -1.04985e-05  3.16554e-10
5.300277069e+00 -1.12467e-05 -1.12474e-05  6.41313e-10
5.302485518e+00 -1.17493e-05 -1.17497e-05  3.97157e-10
5.304694887e+00 -1.15705e-05 -1.15709e-05  4.44382e-10
5.306905176e+00 -1.03377e-05 -1.03380e-05  3.05074e-10
5.309116387e+00 -1.09329e-05 -1.09335e-05  5.59928e-10
5.311328519e+00 -1.02335e-05 -1.02339e-05  4.36557e-10
5.313541572e+00 -1.11605e-05 -1.11613e-05  7.48858e-10
5.315755548e+00 -1.12438e-05 -1.12442e-05  3.40680e-10
5.317970446e+00 -1.09853e-05 -1.09860e-05  7.18340e-10
5.320186267e+00 -1.04753e-05 -1.04758e-05  4.96293e-10
5.322403011e+00 -9.60811e-06 -9.60886e-06  7.54662e-10
5.324620679e+00 -1.08579e-05 -1.08586e-05  7.30132e-10
5.326839271e+00 -1.10528e-05 -1.10536e-05  7.67281e-10
5.329058787e+00 -1.11931e-05 -1.11938e-05  6.78673e-10
5.331279229e+00 -1.02135e-05 -1.02142e-05  6.98957e-10
5.333500595e+00 -1.10710e-05 -1.10718e-05  7.99581e-10
5.335722887e+00 -1.04949e-05 -1.04956e-05  6.49314e-10
5.337946105e+00 -1.07526e-05 -1.07534e-05  8.10569e-10
5.340170249e+00 -1.07576e-05 -1.07582e-05  6.33551e-10
5.342395320e+00 -9.91164e-06 -9.91233e-06  6.90419e-10
5.344621318e+00 -1.08850e-05 -1.08854e-05  4.48546e-10
5.346848244e+00 -9.91765e-06 -9.91804e-06  3.90100e-10
