Simulation:  trappist1e_1barN2_0.4barCO2_aq
Description: t#### -- effective temperature of star (K)
Description: s#### -- stellar flux at planet (W m-2)
Description: p#### -- orbital-rotational period (Earth days)
Description:  TRAPPIST-1e, 1 bar N2, 0.4 bar
Description: TERMINATOR MEAN vertical profile
Description: mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
Description: pressure are total pressure (i.e  P_dry_air + P_h2o)
  surf press (mb)    surf temp (K)      surf albedo        mw_dryair
     1405.3023682      283.9964600        0.0939897       32.5756416
lev           height(m)        press(mb)          temp(K)       N2 (kg/kg)      CO2 (kg/kg)      H2O (kg/kg)   liq_cld (kg/kg)  ice_cld (kg/kg)    reff_liq (µm)   reff_ice (µm)
 23       17223.1621094      135.7509918      210.0756226    6.1407930E-01    3.8591141E-01    0.0000000E+00    0.0000000E+00    0.0000000E+00           14.000           27.746
 24       15976.9179688      165.8050537      215.6898804    6.1407328E-01    3.8590762E-01    0.0000000E+00    0.0000000E+00    0.0000000E+00           14.000           32.072
 25       14737.3017578      201.1621399      222.4343414    6.1405969E-01    3.8589904E-01    0.0000000E+00    0.0000000E+00    0.0000000E+00           14.000           35.665
 26       13494.1357422      242.7578735      229.4310913    6.1403614E-01    3.8588428E-01    0.0000000E+00    0.0000000E+00    0.0000000E+00           14.000           40.379
 27       12242.7636719      291.6931152      236.1170349    6.1400038E-01    3.8586181E-01    0.0000000E+00    0.0000000E+00    0.0000000E+00           14.000           48.130
 28       10980.6884766      349.2629395      242.5843658    6.1394346E-01    3.8582602E-01    0.0000000E+00    0.0000000E+00    0.0000000E+00           14.000           65.510
 29        9705.2978516      416.9907837      249.0397949    6.1385947E-01    3.8577330E-01    0.0000000E+00    0.0000000E+00    0.0000000E+00           14.000           91.139
 30        8413.3066406      496.6690979      255.7516785    6.1371756E-01    3.8568407E-01    0.0000000E+00    0.0000000E+00    0.0000000E+00           14.000          123.287
 31        7100.7988281      590.4064941      262.8930359    6.1345804E-01    3.8552099E-01    0.0000000E+00    0.0000000E+00    0.0000000E+00           14.000          166.620
 32        5764.2592773      700.6837158      270.3057251    6.1309594E-01    3.8529342E-01    0.0000000E+00    0.0000000E+00    0.0000000E+00           14.000          212.468
 33        4401.8339844      830.4191895      277.6163635    6.1268818E-01    3.8503721E-01    0.0000000E+00    0.0000000E+00    0.0000000E+00           14.000          232.278
 34        3133.9487305      969.0897217      283.8940430    6.1227787E-01    3.8477930E-01    0.0000000E+00    0.0000000E+00    0.0000000E+00           14.000          240.517
 35        2073.5000000     1100.0306396      288.3937988    6.1182487E-01    3.8449469E-01    0.0000000E+00    0.0000000E+00    0.0000000E+00           14.000          243.352
 36        1235.5699463     1214.4830322      290.4963074    6.1142224E-01    3.8424164E-01    0.0000000E+00    0.0000000E+00    0.0000000E+00           14.000          244.420
 37         628.0254517     1304.4910889      290.3214417    6.1099899E-01    3.8397560E-01    0.0000000E+00    0.0000000E+00    0.0000000E+00           14.000          245.001
 38         253.8918304     1363.4121094      287.7983398    6.1073631E-01    3.8381052E-01    0.0000000E+00    0.0000000E+00    0.0000000E+00           14.000          245.257
 39          62.4490585     1394.8414307      285.6473694    6.1080039E-01    3.8385081E-01    0.0000000E+00    0.0000000E+00    0.0000000E+00           14.000          245.268
