results_atm.txt
# ------------------------------------------------------------------------
# Atmospheric radiances synthesized with PUMAS (Villanueva et al. 2018, Smith et al. 2009, Edwards 1992)
# Molecular abundance atmprofile: TRAPPIST-1 e-CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.71-5.00um)
# ------------------------------------------------------------------------
# Wave/freq TRAPPIST-1-e Transit Planet
5.175904171e+00 -1.27075e-05 -1.27075e-05  1.42600e-11
5.178060798e+00 -1.32503e-05 -1.32503e-05  1.40212e-11
5.180218323e+00 -1.22165e-05 -1.22166e-05  1.40349e-11
5.182376747e+00 -1.26302e-05 -1.26302e-05  1.41182e-11
5.184536071e+00 -1.21080e-05 -1.21080e-05  1.42375e-11
5.186696294e+00 -1.24718e-05 -1.24718e-05  1.45403e-11
5.188857418e+00 -1.31886e-05 -1.31886e-05  1.47089e-11
5.191019442e+00 -1.31666e-05 -1.31666e-05  1.52202e-11
5.193182366e+00 -1.25016e-05 -1.25017e-05  1.55418e-11
5.195346192e+00 -1.17836e-05 -1.17836e-05  1.76542e-11
5.197510920e+00 -1.17681e-05 -1.17681e-05  2.21736e-11
5.199676550e+00 -1.17685e-05 -1.17686e-05  6.44629e-11
5.201843081e+00 -1.12429e-05 -1.12430e-05  5.60138e-11
5.204010516e+00 -1.28224e-05 -1.28224e-05  2.45100e-11
5.206178854e+00 -1.22392e-05 -1.22392e-05  2.00617e-11
5.208348095e+00 -1.32142e-05 -1.32142e-05  2.14973e-11
5.210518240e+00 -1.12347e-05 -1.12348e-05  2.85108e-11
5.212689289e+00 -1.16267e-05 -1.16268e-05  5.82888e-11
5.214861243e+00 -1.24937e-05 -1.24938e-05  5.76780e-11
5.217034102e+00 -1.23412e-05 -1.23412e-05  2.66288e-11
5.219207866e+00 -1.24039e-05 -1.24039e-05  1.95281e-11
5.221382536e+00 -1.15684e-05 -1.15684e-05  1.78338e-11
5.223558112e+00 -1.16754e-05 -1.16754e-05  1.76558e-11
5.225734595e+00 -1.16054e-05 -1.16054e-05  1.75796e-11
5.227911984e+00 -1.20704e-05 -1.20704e-05  1.69387e-11
5.230090281e+00 -1.21581e-05 -1.21581e-05  1.80095e-11
5.232269485e+00 -1.16207e-05 -1.16207e-05  2.02579e-11
5.234449597e+00 -1.20370e-05 -1.20370e-05  4.60131e-11
5.236630618e+00 -1.21959e-05 -1.21960e-05  4.42175e-11
5.238812547e+00 -1.13022e-05 -1.13022e-05  2.54557e-11
5.240995386e+00 -1.05227e-05 -1.05227e-05  5.42909e-11
5.243179134e+00 -1.17634e-05 -1.17634e-05  2.27566e-11
5.245363792e+00 -1.07922e-05 -1.07922e-05  1.77416e-11
5.247549360e+00 -1.22831e-05 -1.22831e-05  1.76022e-11
5.249735839e+00 -1.22031e-05 -1.22031e-05  2.36115e-11
5.251923229e+00 -1.11997e-05 -1.11997e-05  4.64960e-11
5.254111531e+00 -1.14180e-05 -1.14180e-05  1.32113e-11
5.256300744e+00 -1.16320e-05 -1.16320e-05  1.77292e-11
5.258490869e+00 -1.13433e-05 -1.13433e-05  1.93148e-11
5.260681907e+00 -1.23074e-05 -1.23074e-05  1.74869e-11
5.262873858e+00 -1.18923e-05 -1.18924e-05  1.70870e-11
5.265066722e+00 -1.20160e-05 -1.20160e-05  1.73085e-11
5.267260500e+00 -1.10888e-05 -1.10888e-05  1.76354e-11
5.269455191e+00 -1.03759e-05 -1.03759e-05  1.94002e-11
5.271650798e+00 -1.17642e-05 -1.17643e-05  1.93538e-11
5.273847319e+00 -1.16465e-05 -1.16465e-05  2.37037e-11
5.276044755e+00 -1.04244e-05 -1.04244e-05  6.46537e-11
5.278243107e+00 -1.06950e-05 -1.06950e-05  3.91143e-11
5.280442375e+00 -1.06569e-05 -1.06569e-05  2.20058e-11
5.282642560e+00 -1.06713e-05 -1.06713e-05  2.15169e-11
5.284843661e+00 -1.13286e-05 -1.13286e-05  2.16811e-11
5.287045679e+00 -1.09411e-05 -1.09411e-05  2.43729e-11
5.289248615e+00 -1.17060e-05 -1.17061e-05  3.56453e-11
5.291452468e+00 -1.11518e-05 -1.11519e-05  7.20589e-11
5.293657240e+00 -1.04240e-05 -1.04241e-05  6.03232e-11
5.295862930e+00 -1.09347e-05 -1.09347e-05  3.01803e-11
5.298069540e+00 -1.07164e-05 -1.07164e-05  2.35265e-11
5.300277069e+00 -1.16982e-05 -1.16983e-05  2.16975e-11
5.302485518e+00 -1.18862e-05 -1.18862e-05  2.26625e-11
5.304694887e+00 -1.07931e-05 -1.07932e-05  3.17170e-11
5.306905176e+00 -1.09035e-05 -1.09036e-05  6.42658e-11
5.309116387e+00 -1.08424e-05 -1.08424e-05  1.53607e-11
5.311328519e+00 -1.01925e-05 -1.01925e-05  2.05572e-11
5.313541572e+00 -1.11789e-05 -1.11790e-05  2.02429e-11
5.315755548e+00 -1.13992e-05 -1.13992e-05  2.02287e-11
5.317970446e+00 -1.07406e-05 -1.07407e-05  2.04242e-11
5.320186267e+00 -1.00553e-05 -1.00553e-05  2.65214e-11
5.322403011e+00 -9.94514e-06 -9.94516e-06  2.10695e-11
5.324620679e+00 -1.17752e-05 -1.17753e-05  2.09964e-11
5.326839271e+00 -1.05591e-05 -1.05591e-05  2.12780e-11
5.329058787e+00 -1.07802e-05 -1.07802e-05  2.90962e-11
5.331279229e+00 -1.07419e-05 -1.07419e-05  2.07815e-11
5.333500595e+00 -1.11849e-05 -1.11849e-05  2.20726e-11
5.335722887e+00 -1.03229e-05 -1.03230e-05  2.27454e-11
5.337946105e+00 -1.09440e-05 -1.09441e-05  2.38740e-11
5.340170249e+00 -1.03689e-05 -1.03689e-05  2.57528e-11
5.342395320e+00 -1.05042e-05 -1.05042e-05  2.95465e-11
5.344621318e+00 -1.01028e-05 -1.01028e-05  5.07636e-11
5.346848244e+00 -1.07614e-05 -1.07614e-05  6.01145e-11
5.349076097e+00 -9.56809e-06 -9.56817e-06  8.50718e-11
5.351304879e+00 -9.35427e-06 -9.35435e-06  8.35308e-11
5.353534589e+00 -1.04119e-05 -1.04120e-05  8.86749e-11
5.355765228e+00 -1.09696e-05 -1.09697e-05  6.19273e-11
5.357996797e+00 -1.04133e-05 -1.04134e-05  8.38795e-11
5.360229296e+00 -1.06092e-05 -1.06092e-05  3.80246e-11
5.362462725e+00 -1.02741e-05 -1.02741e-05  2.71634e-11
5.364697084e+00 -9.58657e-06 -9.58660e-06  2.85364e-11
5.366932375e+00 -9.66343e-06 -9.66346e-06  2.62976e-11
5.369168597e+00 -1.06281e-05 -1.06281e-05  2.53681e-11
5.371405750e+00 -9.98098e-06 -9.98101e-06  3.19219e-11
