# ------------------------------------------------------------------------
# Atmospheric radiances synthesized with PUMAS (Villanueva et al. 2018, Smith et al. 2009, Edwards 1992)
# Molecular abundance atmprofile: TRAPPIST-1 e-CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.71-5.00um)
# ------------------------------------------------------------------------
# Wave/freq TRAPPIST-1-e Transit Planet
5.000000000e+00 -1.48431e-05 -1.48431e-05  9.99295e-12
5.002083333e+00 -1.49120e-05 -1.49120e-05  1.48746e-11
5.004167535e+00 -1.57429e-05 -1.57429e-05  1.02839e-11
5.006252605e+00 -1.63584e-05 -1.63584e-05  8.78954e-12
5.008338543e+00 -1.57931e-05 -1.57931e-05  8.75022e-12
5.010425351e+00 -1.56930e-05 -1.56930e-05  8.79574e-12
5.012513028e+00 -1.43044e-05 -1.43044e-05  8.89949e-12
5.014601575e+00 -1.52230e-05 -1.52230e-05  9.18978e-12
5.016690992e+00 -1.52253e-05 -1.52253e-05  1.48154e-11
5.018781280e+00 -1.42540e-05 -1.42540e-05  2.28364e-11
5.020872439e+00 -1.43323e-05 -1.43323e-05  2.68192e-11
5.022964469e+00 -1.52745e-05 -1.52745e-05  7.53170e-12
5.025057371e+00 -1.41156e-05 -1.41156e-05  9.48147e-12
5.027151145e+00 -1.41978e-05 -1.41978e-05  1.04219e-11
5.029245792e+00 -1.44648e-05 -1.44648e-05  1.87034e-11
5.031341311e+00 -1.54705e-05 -1.54705e-05  1.14536e-11
5.033437703e+00 -1.47397e-05 -1.47397e-05  9.33526e-12
5.035534969e+00 -1.55510e-05 -1.55510e-05  9.21321e-12
5.037633108e+00 -1.57463e-05 -1.57463e-05  9.15277e-12
5.039732122e+00 -1.36102e-05 -1.36102e-05  9.25584e-12
5.041832010e+00 -1.51758e-05 -1.51758e-05  9.19039e-12
5.043932774e+00 -1.42973e-05 -1.42973e-05  9.27563e-12
5.046034412e+00 -1.46733e-05 -1.46734e-05  9.25286e-12
5.048136927e+00 -1.39130e-05 -1.39130e-05  9.61782e-12
5.050240317e+00 -1.53993e-05 -1.53993e-05  9.31836e-12
5.052344584e+00 -1.54711e-05 -1.54711e-05  9.33340e-12
5.054449727e+00 -1.44158e-05 -1.44158e-05  9.36766e-12
5.056555748e+00 -1.46463e-05 -1.46463e-05  9.48421e-12
5.058662646e+00 -1.41808e-05 -1.41809e-05  9.81501e-12
5.060770422e+00 -1.44117e-05 -1.44117e-05  1.21008e-11
5.062879077e+00 -1.38739e-05 -1.38739e-05  9.62117e-12
5.064988610e+00 -1.40919e-05 -1.40919e-05  9.59848e-12
5.067099022e+00 -1.38337e-05 -1.38337e-05  9.64068e-12
5.069210313e+00 -1.48657e-05 -1.48657e-05  9.69945e-12
5.071322484e+00 -1.45120e-05 -1.45120e-05  9.76357e-12
5.073435535e+00 -1.47886e-05 -1.47886e-05  9.84807e-12
5.075549466e+00 -1.41422e-05 -1.41422e-05  9.99827e-12
5.077664279e+00 -1.38355e-05 -1.38356e-05  1.02663e-11
5.079779972e+00 -1.37394e-05 -1.37394e-05  1.12033e-11
5.081896547e+00 -1.37246e-05 -1.37246e-05  2.54784e-11
5.084014004e+00 -1.41175e-05 -1.41175e-05  1.79658e-11
5.086132343e+00 -1.38585e-05 -1.38585e-05  2.24782e-11
5.088251565e+00 -1.41059e-05 -1.41059e-05  1.10886e-11
5.090371670e+00 -1.41183e-05 -1.41183e-05  1.04607e-11
5.092492658e+00 -1.27714e-05 -1.27714e-05  1.03706e-11
5.094614530e+00 -1.34057e-05 -1.34057e-05  1.04134e-11
5.096737286e+00 -1.44912e-05 -1.44913e-05  1.06880e-11
5.098860926e+00 -1.40640e-05 -1.40640e-05  1.93920e-11
5.100985452e+00 -1.46412e-05 -1.46412e-05  1.12050e-11
5.103110862e+00 -1.41618e-05 -1.41618e-05  1.07857e-11
5.105237159e+00 -1.32285e-05 -1.32285e-05  1.06057e-11
5.107364341e+00 -1.34641e-05 -1.34641e-05  1.09452e-11
5.109492409e+00 -1.29127e-05 -1.29127e-05  1.11017e-11
5.111621364e+00 -1.30882e-05 -1.30882e-05  1.43502e-11
5.113751207e+00 -1.32710e-05 -1.32710e-05  1.32515e-11
5.115881936e+00 -1.39545e-05 -1.39545e-05  1.98989e-11
5.118013554e+00 -1.38050e-05 -1.38051e-05  1.05156e-11
5.120146060e+00 -1.34640e-05 -1.34640e-05  1.09595e-11
5.122279454e+00 -1.37681e-05 -1.37681e-05  1.10027e-11
5.124413737e+00 -1.29953e-05 -1.29953e-05  1.11988e-11
5.126548909e+00 -1.36448e-05 -1.36448e-05  1.15899e-11
5.128684971e+00 -1.26381e-05 -1.26382e-05  1.15971e-11
