# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2015)
# Atmospheric transmittance spectrum synthesized with PUMAS (Villanueva et al. 2016, Smith et al. 2009, Edwards 1992)
# Synthesized on Thu May 31 23:19:35 2018
# Molecular abundance atmprofile: TRAPPIST-1 e - CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.71-5.00um)
# ------------------------------------------------------------------------
# Aerosols considered: WaterIce,Cloud
# Aerosols sources: CRISM_Wolff[reff=2.0um 0.31-99.57um],White_GSFC[reff=1.0um 0.10-1000000.00um]
# Aerosols opacities: 1,1
# Aerosols opacity units: scl,scl
# ------------------------------------------------------------------------
# Spectral unit: Wavelength [um]
# Wave/freq Total N2 CO2 H2O WaterIce Cloud CIA
5.128684971e+00  0.00000  1.00000  0.23418  0.00527  0.00000  0.00000  1.00000
5.130821923e+00  0.00000  1.00000  0.17804  0.00135  0.00000  0.00000  1.00000
5.132959766e+00  0.00000  1.00000  0.37351  0.00052  0.00000  0.00000  1.00000
5.135098499e+00  0.00000  1.00000  0.21245  0.00005  0.00000  0.00000  0.99999
5.137238123e+00  0.00000  1.00000  0.45803  0.00000  0.00000  0.00000  1.00000
5.139378639e+00  0.00000  1.00000  0.18884  0.00000  0.00000  0.00000  1.00000
5.141520047e+00  0.00000  1.00000  0.40929  0.00000  0.00000  0.00000  0.99998
5.143662347e+00  0.00000  1.00000  0.05960  0.00000  0.00000  0.00000  0.99996
5.145805540e+00 -0.00000  1.00000  0.27722 -0.00000  0.00000  0.00000  0.99982
5.147949625e+00 -0.00000  1.00000 -0.00923 -0.00000  0.00000  0.00000  0.99994
5.150094604e+00  0.00000  1.00000  0.13324  0.00000  0.00000  0.00000  0.99937
5.152240477e+00  0.00000  1.00000  0.01760  0.00000  0.00000  0.00000  0.99999
5.154387244e+00  0.00000  1.00000  0.02219  0.00000  0.00000  0.00000  0.99996
5.156534905e+00  0.00000  1.00000  0.00849  0.00004  0.00000  0.00000  0.99999
5.158683462e+00  0.00000  1.00000  0.00422  0.00117  0.00000  0.00000  0.99996
5.160832913e+00  0.00000  1.00000  0.00058  0.00240  0.00000  0.00000  0.99995
5.162983260e+00  0.00000  1.00000  0.00002  0.00927  0.00000  0.00000  0.99996
5.165134503e+00  0.00000  1.00000  0.00000  0.02899  0.00000  0.00000  1.00000
5.167286642e+00 -0.00000  1.00000 -0.00000  0.01954  0.00000  0.00000  1.00000
5.169439679e+00 -0.00000  1.00000 -0.00000  0.01097  0.00000  0.00000  1.00000
5.171593612e+00 -0.00000  1.00000 -0.00000 -0.00066  0.00000  0.00000  1.00000
5.173748442e+00 -0.00000  1.00000 -0.00000 -0.00008  0.00000  0.00000  1.00000
5.175904171e+00  0.00000  1.00000  0.00000  0.00066  0.00000  0.00000  1.00000
5.178060798e+00  0.00000  1.00000  0.00000  0.02187  0.00000  0.00000  1.00000
5.180218323e+00  0.00000  1.00000  0.00018  0.03115  0.00000  0.00000  1.00000
5.182376747e+00  0.00000  1.00000  0.00005  0.02736  0.00000  0.00000  1.00000
5.184536071e+00  0.00000  1.00000  0.00025  0.01775  0.00000  0.00000  0.99996
5.186696294e+00  0.00000  1.00000  0.00003  0.00426  0.00000  0.00000  0.99999
5.188857418e+00  0.00000  1.00000  0.00003  0.00141  0.00000  0.00000  1.00000
5.191019442e+00  0.00000  1.00000  0.00000  0.00010  0.00000  0.00000  0.99997
5.193182366e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.00000  1.00000
5.195346192e+00 -0.00000  1.00000 -0.00000 -0.00000  0.00000  0.00000  1.00000
5.197510920e+00 -0.00000  1.00000  0.00000 -0.00000  0.00000  0.00000  0.99968
5.199676550e+00 -0.00000  1.00000 -0.00000 -0.00000  0.00000  0.00000  0.99989
5.201843081e+00 -0.00000  1.00000  0.00000 -0.00000  0.00000  0.00000  0.99983
5.204010516e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.00000  0.99959
5.206178854e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.00000  0.99984
5.208348095e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.00000  0.99980
