# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2015)
# Atmospheric transmittance spectrum synthesized with PUMAS (Villanueva et al. 2016, Smith et al. 2009, Edwards 1992)
# Synthesized on Thu May 31 23:19:30 2018
# Molecular abundance atmprofile: TRAPPIST-1 e - CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.33-5.41um)
# ------------------------------------------------------------------------
# Aerosols considered: WaterIce,Cloud
# Aerosols sources: CRISM_Wolff[reff=2.0um 0.31-99.57um],White_GSFC[reff=1.0um 0.10-1000000.00um]
# Aerosols opacities: 1,1
# Aerosols opacity units: scl,scl
# ------------------------------------------------------------------------
# Spectral unit: Wavelength [um]
# Wave/freq Total N2 CO2 H2O WaterIce Cloud CIA
5.000000000e+00  0.00000  1.00000  0.37429  0.04486  0.00000  0.00000  0.91726
5.002083333e+00  0.00000  1.00000  0.38611  0.00765  0.00000  0.00000  0.98493
5.004167535e+00  0.00000  1.00000  0.42315  0.00604  0.00000  0.00000  0.99927
5.006252605e+00  0.00000  1.00000  0.43949  0.05898  0.00000  0.00000  0.99861
5.008338543e+00  0.00000  1.00000  0.32776  0.06162  0.00000  0.00000  0.99928
5.010425351e+00  0.00000  1.00000  0.35513  0.03470  0.00000  0.00000  0.99915
5.012513028e+00  0.00000  1.00000  0.36006  0.00714  0.00000  0.00000  0.99929
5.014601575e+00  0.00000  1.00000  0.53342 -0.00000  0.00000  0.00000  0.99923
5.016690992e+00 -0.00000  1.00000  0.38286 -0.00002  0.00000  0.00000  0.99898
5.018781280e+00 -0.00000  1.00000  0.58474 -0.00000  0.00000  0.00000  0.99877
5.020872439e+00 -0.00000  1.00000  0.35462 -0.00000  0.00000  0.00000  0.99873
5.022964469e+00  0.00000  1.00000  0.62939  0.00000  0.00000  0.00000  0.99823
5.025057371e+00  0.00000  1.00000  0.42117  0.00000  0.00000  0.00000  0.99931
5.027151145e+00  0.00000  1.00000  0.64302  0.00000  0.00000  0.00000  0.99922
5.029245792e+00  0.00000  1.00000  0.38126  0.00000  0.00000  0.00000  0.99943
5.031341311e+00  0.00000  1.00000  0.65093  0.00001  0.00000  0.00000  0.99935
5.033437703e+00  0.00000  1.00000  0.32299  0.00401  0.00000  0.00000  0.99949
5.035534969e+00  0.00000  1.00000  0.67864  0.04034  0.00000  0.00000  0.99963
5.037633108e+00  0.00000  1.00000  0.26760  0.11376  0.00000  0.00000  0.99958
5.039732122e+00  0.00000  1.00000  0.69669  0.11832  0.00000  0.00000  0.99975
5.041832010e+00  0.00000  1.00000  0.21342  0.25570  0.00000  0.00000  0.99943
5.043932774e+00  0.00000  1.00000  0.71161  0.21293  0.00000  0.00000  0.99914
5.046034412e+00  0.00000  1.00000  0.18229  0.20022  0.00000  0.00000  0.99952
5.048136927e+00  0.00000  1.00000  0.70692  0.07455  0.00000  0.00000  0.99978
5.050240317e+00  0.00000  1.00000  0.31518  0.37833  0.00000  0.00000  0.99927
5.052344584e+00  0.00000  1.00000  0.54708  0.41789  0.00000  0.00000  0.99969
5.054449727e+00  0.00000  1.00000  0.25335  0.42755  0.00000  0.00000  0.99970
5.056555748e+00  0.00000  1.00000  0.53543  0.22214  0.00000  0.00000  0.99990
5.058662646e+00  0.00000  1.00000  0.18537  0.09735  0.00000  0.00000  0.99959
5.060770422e+00  0.00000  1.00000  0.55541  0.02362  0.00000  0.00000  0.99982
5.062879077e+00  0.00000  1.00000  0.11133  0.20442  0.00000  0.00000  0.99956
5.064988610e+00  0.00000  1.00000  0.49149  0.31506  0.00000  0.00000  0.99935
