Simulation:  trappist1e_1barN2_0.4barCO2_aq
Description:        TRAPPIST-1e, 1 bar N2, 0.4 bar CO2
Description: HEMISPHERE MEAN profile, longitude ****
Description: mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
Description: pressure are total pressure (i.e  P_dry_air + P_h2o)
       surf press        surf temp      surf albedo        mw_dryair
     1403.0521240      295.0043945        0.1459557       32.5756416
lev           height(m)        press(mb)          temp(K)       N2 (kg/kg)      CO2 (kg/kg)      H2O (kg/kg)   liq_cld (g m-2)  ice_cld (g m-2)    reff_liq (µm)   reff_ice (µm)
  0       45322.2539062        0.9559475      180.4258728    6.1408246E-01    3.8591340E-01    4.0971390E-06    0.0000000E+00    9.8688854E-04           14.000            6.855
  1       43933.9804688        1.2447951      179.0601807    6.1408257E-01    3.8591346E-01    3.9762140E-06    0.0000000E+00    1.5674236E-03           14.000            6.449
  2       42577.7070312        1.6128501      178.8426208    6.1408257E-01    3.8591349E-01    3.9066131E-06    0.0000000E+00    3.7358389E-03           14.000            6.435
  3       41242.2812500        2.0793252      180.3877106    6.1408257E-01    3.8591346E-01    3.9959773E-06    0.0000000E+00    5.9782509E-03           14.000            6.752
  4       39919.0468750        2.6674249      182.6327362    6.1408240E-01    3.8591337E-01    4.2135825E-06    0.0000000E+00    7.1112714E-03           14.000            7.389
  5       38606.2773438        3.4048753      184.8636017    6.1408222E-01    3.8591325E-01    4.5017118E-06    0.0000000E+00    6.8726703E-03           14.000            8.211
  6       37305.8476562        4.3245749      186.7938232    6.1408210E-01    3.8591316E-01    4.7427188E-06    0.0000000E+00    6.2899906E-03           14.000            9.051
  7       36020.8437500        5.4653997      188.2940216    6.1408198E-01    3.8591310E-01    4.9016694E-06    0.0000000E+00    6.2188725E-03           14.000            9.772
  8       34754.3164062        6.8728499      189.4560547    6.1408192E-01    3.8591307E-01    5.0080394E-06    0.0000000E+00    7.0348093E-03           14.000           10.366
  9       33507.8164062        8.5997248      190.6015167    6.1408186E-01    3.8591301E-01    5.1037741E-06    0.0000000E+00    8.7146685E-03           14.000           10.993
 10       32280.4375000       10.7070494      192.1135712    6.1408174E-01    3.8591298E-01    5.2199307E-06    0.0000000E+00    9.6689230E-03           14.000           11.902
 11       31069.7597656       13.2647495      194.1241760    6.1408174E-01    3.8591293E-01    5.3693338E-06    0.0000000E+00    9.1909710E-03           14.000           13.248
 12       29874.0820312       16.3517513      196.4065704    6.1408162E-01    3.8591287E-01    5.5534965E-06    0.0000000E+00    8.5915532E-03           14.000           14.971
 13       28693.4062500       20.0567513      198.6589508    6.1408150E-01    3.8591281E-01    5.6751182E-06    0.0000000E+00    6.8868054E-03           14.000           16.883
 14       27528.8847656       24.4789982      200.7535553    6.1408162E-01    3.8591281E-01    5.6321255E-06    0.0000000E+00    4.1301618E-03           14.000           18.838
 15       26382.1621094       29.7279987      202.6392059    6.1408162E-01    3.8591287E-01    5.4932925E-06    0.0000000E+00    2.4116959E-03           14.000           20.717
 16       25255.2343750       35.9232483      204.2296600    6.1408168E-01    3.8591290E-01    5.4459870E-06    0.0000000E+00    2.2187831E-03           14.000           22.333
 17       24150.4667969       43.1937485      205.4401550    6.1408162E-01    3.8591287E-01    5.4928564E-06    0.0000000E+00    2.3429659E-03           14.000           23.545
 18       23070.4921875       51.6775017      206.1843872    6.1408162E-01    3.8591284E-01    5.5692808E-06    0.0000000E+00    2.3991759E-03           14.000           24.257
 19       22018.0703125       61.5204964      206.4095764    6.1408150E-01    3.8591281E-01    5.6474228E-06    0.0000000E+00    2.6155333E-03           14.000           24.417
 20       20995.7441406       72.8745041      206.1813507    6.1408150E-01    3.8591278E-01    5.7192342E-06    0.0000000E+00    4.0681255E-03           14.000           24.083
 21       19812.0917969       88.6907349      205.7889709    6.1408138E-01    3.8591275E-01    5.8240284E-06    0.0000000E+00    4.6240598E-02           14.000           23.547
 22       18505.2070312      110.1507416      206.4046478    6.1408108E-01    3.8591254E-01    6.3579764E-06    0.0000000E+00    3.5403094E-01           14.000           24.032
 23       17236.7851562      135.6538239      209.7962799    6.1407936E-01    3.8591146E-01    9.1793017E-06    0.0000000E+00    7.7276975E-01           14.000           27.468
 24       15993.5244141      165.6568756      215.3251801    6.1407417E-01    3.8590819E-01    1.7624425E-05    0.0000000E+00    1.0855863E+00           14.000           31.857
 25       14757.2412109      200.9539337      221.9433899    6.1406195E-01    3.8590047E-01    3.7631024E-05    0.0000000E+00    1.5100889E+00           14.000           35.357
 26       13517.6425781      242.4790649      228.9005432    6.1403728E-01    3.8588500E-01    7.7702207E-05    9.7629964E-02    2.2996271E+00           14.000           39.963
 27       12269.3583984      291.3312378      235.7309570    6.1399353E-01    3.8585755E-01    1.4886430E-04    2.3042049E+00    5.1234097E+00           14.000           47.687
 28       11009.4111328      348.8033447      242.3627167    6.1392713E-01    3.8581577E-01    2.5712489E-04    8.9308386E+00    6.8420920E+00           14.000           64.849
 29        9734.8896484      416.4162292      249.0934296    6.1381936E-01    3.8574800E-01    4.3269925E-04    3.1012197E+01    7.8771062E+00           14.000           91.002
 30        8442.9023438      495.9592896      255.8475800    6.1364341E-01    3.8563746E-01    7.1914075E-04    6.0773914E+01    6.6662369E+00           14.000          123.108
 31        7130.6923828      589.5375977      262.8179321    6.1339527E-01    3.8548154E-01    1.1231699E-03    6.6507812E+01    4.4329562E+00           14.000          164.983
 32        5794.5361328      699.6276245      270.3375854    6.1308122E-01    3.8528419E-01    1.6346158E-03    4.4321369E+01    1.6588773E+00           14.000          214.036
 33        4431.1948242      829.1428223      278.0367126    6.1270607E-01    3.8504842E-01    2.2455044E-03    2.7431139E+01    5.9251183E-01           14.000          235.179
 34        3160.9106445      967.5779419      284.6376648    6.1224347E-01    3.8475770E-01    2.9988445E-03    1.7752291E+01    1.2763248E-01           14.000          242.312
