Simulation:  trappist1e_1barN2_0.4barCO2_aq
Description:        TRAPPIST-1e, 1 bar N2, 0.4 bar CO2
Description: HEMISPHERE MEAN profile, longitude ****
Description: mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
Description: pressure are total pressure (i.e  P_dry_air + P_h2o)
       surf press        surf temp      surf albedo        mw_dryair
     1400.8562012      290.2323914        0.1459557       32.5756416
lev           height(m)        press(mb)          temp(K)       N2 (kg/kg)      CO2 (kg/kg)      H2O (kg/kg)   liq_cld (g m-2)  ice_cld (g m-2)    reff_liq (µm)   reff_ice (µm)
  0       45482.4453125        0.9559475      180.4001312    6.1408246E-01    3.8591340E-01    4.1244798E-06    0.0000000E+00    3.0584348E-04           14.000            6.834
  1       44088.9687500        1.2447951      180.3591461    6.1408252E-01    3.8591343E-01    4.0271661E-06    0.0000000E+00    5.0085515E-04           14.000            6.640
  2       42718.6484375        1.6128501      181.1920776    6.1408257E-01    3.8591346E-01    3.9566262E-06    0.0000000E+00    8.7328517E-04           14.000            6.802
  3       41364.6054688        2.0793252      183.0321045    6.1408257E-01    3.8591346E-01    3.9762763E-06    0.0000000E+00    1.0397764E-03           14.000            7.383
  4       40022.1757812        2.6674249      185.2567902    6.1408246E-01    3.8591340E-01    4.0962695E-06    0.0000000E+00    1.0767211E-03           14.000            8.254
  5       38691.4296875        3.4048753      187.2843170    6.1408234E-01    3.8591334E-01    4.3186242E-06    0.0000000E+00    1.0994190E-03           14.000            9.194
  6       37375.2851562        4.3245749      188.8813171    6.1408222E-01    3.8591325E-01    4.5380098E-06    0.0000000E+00    1.2241987E-03           14.000           10.026
  7       36077.3710938        5.4653997      189.9942780    6.1408210E-01    3.8591316E-01    4.7297626E-06    0.0000000E+00    1.5837649E-03           14.000           10.645
  8       34800.7968750        6.8728499      190.7706757    6.1408198E-01    3.8591310E-01    4.9146570E-06    0.0000000E+00    2.6599767E-03           14.000           11.088
  9       33546.7695312        8.5997248      191.5970459    6.1408186E-01    3.8591304E-01    5.0714698E-06    0.0000000E+00    5.0602751E-03           14.000           11.576
 10       32313.6699219       10.7070494      192.9099731    6.1408174E-01    3.8591298E-01    5.2387554E-06    0.0000000E+00    7.3103216E-03           14.000           12.408
 11       31098.2167969       13.2647495      194.8546448    6.1408168E-01    3.8591290E-01    5.4422321E-06    0.0000000E+00    7.4069342E-03           14.000           13.763
 12       29897.9238281       16.3517513      197.1818542    6.1408156E-01    3.8591284E-01    5.5970504E-06    0.0000000E+00    6.6560027E-03           14.000           15.578
 13       28712.3398438       20.0567513      199.5230713    6.1408150E-01    3.8591284E-01    5.6328367E-06    0.0000000E+00    4.0384224E-03           14.000           17.624
 14       27542.6679688       24.4789982      201.6543121    6.1408162E-01    3.8591287E-01    5.5403161E-06    0.0000000E+00    9.9072896E-04           14.000           19.672
 15       26390.9843750       29.7279987      203.4863892    6.1408168E-01    3.8591290E-01    5.4303036E-06    0.0000000E+00    2.9991945E-04           14.000           21.542
 16       25259.6718750       35.9232483      204.9691010    6.1408168E-01    3.8591290E-01    5.4240268E-06    0.0000000E+00    3.8419815E-04           14.000           23.077
 17       24151.2480469       43.1937485      206.0611877    6.1408162E-01    3.8591290E-01    5.4760380E-06    0.0000000E+00    5.7031587E-04           14.000           24.182
 18       23068.3574219       51.6775017      206.6785736    6.1408162E-01    3.8591284E-01    5.5519163E-06    0.0000000E+00    9.6285302E-04           14.000           24.762
 19       22013.8750000       61.5204964      206.7279053    6.1408150E-01    3.8591284E-01    5.6372205E-06    0.0000000E+00    1.6207318E-03           14.000           24.722
 20       20990.5703125       72.8745041      206.2647858    6.1408150E-01    3.8591278E-01    5.7190991E-06    0.0000000E+00    4.5887888E-03           14.000           24.122
 21       19808.7929688       88.6742096      205.5160980    6.1408138E-01    3.8591275E-01    5.8251403E-06    0.0000000E+00    1.0075105E-01           14.000           23.209
 22       18505.9414062      110.0982437      205.9720459    6.1408103E-01    3.8591251E-01    6.4655569E-06    0.0000000E+00    5.5761629E-01           14.000           23.507
 23       17240.1660156      135.5590057      209.7977448    6.1407864E-01    3.8591102E-01    1.0311081E-05    0.0000000E+00    1.0384287E+00           14.000           27.408
 24       15995.4677734      165.5122681      216.1626740    6.1407089E-01    3.8590613E-01    2.2929824E-05    0.0000000E+00    1.5688595E+00           14.000           32.352
 25       14753.5605469      200.7507629      223.3891144    6.1405331E-01    3.8589507E-01    5.1628373E-05    0.0000000E+00    2.1566498E+00           14.000           36.235
 26       13505.9140625      242.2069855      230.6375122    6.1402094E-01    3.8587472E-01    1.0437911E-04    1.2183122E-01    3.2453163E+00           14.000           41.286
 27       12248.8681641      290.9780884      237.4806671    6.1396861E-01    3.8584188E-01    1.8946607E-04    3.4809504E+00    7.8783879E+00           14.000           50.279
 28       10981.0917969      348.3548279      243.7876129    6.1389327E-01    3.8579455E-01    3.1213081E-04    1.2422217E+01    9.3515940E+00           14.000           69.294
 29        9701.2294922      415.8555298      249.9151001    6.1377835E-01    3.8572231E-01    4.9933256E-04    3.4366604E+01    9.2040911E+00           14.000           95.246
 30        8406.8945312      495.2665710      256.1065674    6.1360145E-01    3.8561109E-01    7.8747183E-04    5.7378288E+01    5.9313912E+00           14.000          125.768
 31        7094.7578125      588.6895752      262.6678162    6.1332643E-01    3.8543829E-01    1.2352506E-03    6.2866772E+01    4.0048876E+00           14.000          165.559
 32        5760.6547852      698.5969238      269.7896118    6.1294842E-01    3.8520071E-01    1.8509286E-03    5.8597282E+01    2.4102695E+00           14.000          210.545
 33        4401.2275391      827.8972778      277.1163635    6.1250651E-01    3.8492301E-01    2.5704396E-03    5.0252457E+01    1.3296926E+00           14.000          230.327
 34        3135.8991699      966.1026611      283.4303284    6.1206096E-01    3.8464302E-01    3.2960328E-03    3.9599579E+01    2.8018099E-01           14.000          239.287
 35        2077.6596680     1096.6043701      287.8036499    6.1123252E-01    3.8412237E-01    4.6451120E-03    3.6620941E+01    2.0428224E-02           14.000          242.661
