Simulation:  trappist1e_1barN2_0.4barCO2_aq
Description:        TRAPPIST-1e, 1 bar N2, 0.4 bar CO2
Description: HEMISPHERE MEAN profile, longitude ****
Description: mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
Description: pressure are total pressure (i.e  P_dry_air + P_h2o)
       surf press        surf temp      surf albedo        mw_dryair
     1399.9790039      294.5180969        0.1459557       32.5756416
lev           height(m)        press(mb)          temp(K)       N2 (kg/kg)      CO2 (kg/kg)      H2O (kg/kg)   liq_cld (g m-2)  ice_cld (g m-2)    reff_liq (µm)   reff_ice (µm)
  0       45474.0546875        0.9559475      181.4674072    6.1408246E-01    3.8591340E-01    4.1257936E-06    0.0000000E+00    1.8320054E-04           14.000            7.059
  1       44075.1875000        1.2447951      180.7266998    6.1408252E-01    3.8591343E-01    4.0287209E-06    0.0000000E+00    4.0268802E-04           14.000            6.678
  2       42704.0585938        1.6128501      181.0656281    6.1408257E-01    3.8591346E-01    3.9644901E-06    0.0000000E+00    8.4261538E-04           14.000            6.765
  3       41351.2421875        2.0793252      182.8320923    6.1408257E-01    3.8591346E-01    4.0039522E-06    0.0000000E+00    1.0504462E-03           14.000            7.315
  4       40010.1718750        2.6674249      185.0822601    6.1408246E-01    3.8591340E-01    4.1536614E-06    0.0000000E+00    1.2809813E-03           14.000            8.182
  5       38680.6914062        3.4048753      187.1042480    6.1408234E-01    3.8591328E-01    4.4056465E-06    0.0000000E+00    1.3773079E-03           14.000            9.112
  6       37366.0000000        4.3245749      188.6494751    6.1408210E-01    3.8591322E-01    4.6338600E-06    0.0000000E+00    1.6196204E-03           14.000            9.910
  7       36069.9453125        5.4653997      189.6866608    6.1408204E-01    3.8591313E-01    4.8097927E-06    0.0000000E+00    2.2675979E-03           14.000           10.479
  8       34795.5664062        6.8728499      190.4251709    6.1408198E-01    3.8591307E-01    4.9657006E-06    0.0000000E+00    3.7267399E-03           14.000           10.891
  9       33543.6914062        8.5997248      191.2839203    6.1408186E-01    3.8591301E-01    5.1014540E-06    0.0000000E+00    6.3130781E-03           14.000           11.388
 10       32312.2929688       10.7070494      192.6890869    6.1408180E-01    3.8591295E-01    5.2562018E-06    0.0000000E+00    8.3662942E-03           14.000           12.266
 11       31097.9023438       13.2647495      194.7323151    6.1408168E-01    3.8591290E-01    5.4372185E-06    0.0000000E+00    8.1956368E-03           14.000           13.677
 12       29898.2187500       16.3517513      197.1034241    6.1408156E-01    3.8591284E-01    5.5852279E-06    0.0000000E+00    7.3479027E-03           14.000           15.519
 13       28713.1875000       20.0567513      199.4177856    6.1408150E-01    3.8591284E-01    5.6379467E-06    0.0000000E+00    4.5999452E-03           14.000           17.536
 14       27544.2714844       24.4789982      201.5024567    6.1408162E-01    3.8591284E-01    5.5615101E-06    0.0000000E+00    1.4028770E-03           14.000           19.528
 15       26393.5253906       29.7279987      203.3085632    6.1408168E-01    3.8591290E-01    5.4477728E-06    0.0000000E+00    6.6913420E-04           14.000           21.361
 16       25263.2128906       35.9232483      204.7866974    6.1408168E-01    3.8591290E-01    5.4322782E-06    0.0000000E+00    8.1862742E-04           14.000           22.886
 17       24155.7695312       43.1937485      205.8794556    6.1408162E-01    3.8591287E-01    5.4819643E-06    0.0000000E+00    1.0475938E-03           14.000           23.994
 18       23073.8183594       51.6775017      206.5019226    6.1408162E-01    3.8591284E-01    5.5567029E-06    0.0000000E+00    1.4799562E-03           14.000           24.586
 19       22020.2031250       61.5204964      206.5643158    6.1408150E-01    3.8591281E-01    5.6412041E-06    0.0000000E+00    2.0962902E-03           14.000           24.567
 20       20997.6425781       72.8745041      206.1278381    6.1408150E-01    3.8591278E-01    5.7219936E-06    0.0000000E+00    4.9826610E-03           14.000           24.003
 21       19816.6210938       88.6676102      205.5163727    6.1408138E-01    3.8591275E-01    5.8343203E-06    0.0000000E+00    8.9995883E-02           14.000           23.238
 22       18514.4433594      110.0772705      205.9748230    6.1408103E-01    3.8591251E-01    6.4682058E-06    0.0000000E+00    5.1004881E-01           14.000           23.552
 23       17249.6308594      135.5211334      209.6569366    6.1407876E-01    3.8591108E-01    1.0185128E-05    0.0000000E+00    1.0702728E+00           14.000           27.297
 24       16006.6572266      165.4544983      215.8642273    6.1407125E-01    3.8590631E-01    2.2484228E-05    0.0000000E+00    1.6332626E+00           14.000           32.181
 25       14767.0957031      200.6695862      222.9853363    6.1405355E-01    3.8589525E-01    5.1187744E-05    0.0000000E+00    2.2875180E+00           14.000           35.996
 26       13521.9980469      242.0982819      230.2218323    6.1402023E-01    3.8587427E-01    1.0552427E-04    1.2917522E-01    3.4301569E+00           14.000           40.972
 27       12267.2333984      290.8370056      237.1375580    6.1396480E-01    3.8583946E-01    1.9572544E-04    3.7308388E+00    8.3175735E+00           14.000           49.701
 28       11001.0537109      348.1756592      243.5994873    6.1388427E-01    3.8578886E-01    3.2684914E-04    1.3845459E+01    9.9052229E+00           14.000           68.459
 29        9721.8046875      415.6315308      249.9286957    6.1376166E-01    3.8571179E-01    5.2653294E-04    4.0398026E+01    9.0056267E+00           14.000           94.951
 30        8427.0693359      494.9898682      256.3025818    6.1357105E-01    3.8559201E-01    8.3690579E-04    7.0145851E+01    4.9270263E+00           14.000          126.448
 31        7113.7207031      588.3508301      262.9974976    6.1330926E-01    3.8542745E-01    1.2633442E-03    7.0024788E+01    3.2639446E+00           14.000          167.360
 32        5777.9077148      698.1851807      270.1845703    6.1295557E-01    3.8520524E-01    1.8391677E-03    5.1506916E+01    1.9060782E+00           14.000          213.014
 33        4416.5468750      827.3996582      277.5368347    6.1252373E-01    3.8493383E-01    2.5424366E-03    3.9127739E+01    1.0780603E+00           14.000          232.056
 34        3149.3032227      965.5133057      283.8933411    6.1206061E-01    3.8464278E-01    3.2966237E-03    3.1236187E+01    2.3529175E-01           14.000          240.159
 35        2089.0219727     1095.9283447      288.4890137    6.1119622E-01    3.8409960E-01    4.7041615E-03    3.0054003E+01    1.8149866E-02           14.000          243.063
 36        1250.0700684     1209.9211426      291.3552856    6.0996842E-01    3.8332796E-01    6.7036441E-03    3.4898495E+01    2.3870282E-06           14.000          244.302
 37         639.2717896     1299.5677490      293.0473938    6.0884041E-01    3.8261908E-01    8.5405372E-03    4.1372974E+01    1.7015432E-20           14.000          245.023
 38         260.2603455     1358.2520752      293.7125244    6.0839629E-01    3.8233998E-01    9.2636934E-03    3.3285118E+01    1.8638224E-09           14.000          245.316
 39          64.3211288     1389.5577393      294.2103577    6.0822833E-01    3.8223445E-01    9.5372070E-03    1.9959389E+01    4.8253813E-05           14.000          245.374
