Simulation:  trappist1e_1barN2_0.4barCO2_aq
Description:        TRAPPIST-1e, 1 bar N2, 0.4 bar CO2
Description: HEMISPHERE MEAN profile, longitude ****
Description: mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
Description: pressure are total pressure (i.e  P_dry_air + P_h2o)
       surf press        surf temp      surf albedo        mw_dryair
     1402.0631104      287.7985840        0.1459557       32.5756416
lev           height(m)        press(mb)          temp(K)       N2 (kg/kg)      CO2 (kg/kg)      H2O (kg/kg)   liq_cld (g m-2)  ice_cld (g m-2)    reff_liq (µm)   reff_ice (µm)
  0       45458.1171875        0.9559475      179.4793243    6.1408246E-01    3.8591340E-01    4.1192598E-06    0.0000000E+00    4.1417277E-04           14.000            6.635
  1       44070.3085938        1.2447951      179.7918549    6.1408257E-01    3.8591343E-01    4.0177420E-06    0.0000000E+00    7.3905976E-04           14.000            6.550
  2       42703.3359375        1.6128501      180.8630981    6.1408257E-01    3.8591349E-01    3.9419010E-06    0.0000000E+00    1.2138375E-03           14.000            6.757
  3       41351.6328125        2.0793252      182.7300262    6.1408257E-01    3.8591346E-01    3.9564329E-06    0.0000000E+00    1.4495475E-03           14.000            7.321
  4       40011.4765625        2.6674249      184.9364471    6.1408252E-01    3.8591343E-01    4.0749687E-06    0.0000000E+00    1.4138350E-03           14.000            8.151
  5       38682.9257812        3.4048753      186.9883270    6.1408234E-01    3.8591334E-01    4.2956608E-06    0.0000000E+00    1.3703617E-03           14.000            9.072
  6       37368.5820312        4.3245749      188.6587219    6.1408222E-01    3.8591325E-01    4.5110542E-06    0.0000000E+00    1.4336511E-03           14.000            9.921
  7       36071.8046875        5.4653997      189.8803101    6.1408210E-01    3.8591319E-01    4.6974887E-06    0.0000000E+00    1.6759987E-03           14.000           10.587
  8       34795.6132812        6.8728499      190.7653198    6.1408198E-01    3.8591310E-01    4.8806373E-06    0.0000000E+00    2.4425250E-03           14.000           11.086
  9       33541.4179688        8.5997248      191.6504364    6.1408186E-01    3.8591304E-01    5.0409540E-06    0.0000000E+00    4.3779388E-03           14.000           11.607
 10       32308.0273438       10.7070494      192.9484253    6.1408186E-01    3.8591298E-01    5.2139007E-06    0.0000000E+00    6.5505495E-03           14.000           12.431
 11       31092.5390625       13.2647495      194.8297577    6.1408168E-01    3.8591290E-01    5.4302300E-06    0.0000000E+00    7.0814462E-03           14.000           13.743
 12       29892.5781250       16.3517513      197.1005707    6.1408156E-01    3.8591284E-01    5.5963337E-06    0.0000000E+00    6.6191186E-03           14.000           15.510
 13       28707.5175781       20.0567513      199.4298553    6.1408150E-01    3.8591284E-01    5.6358999E-06    0.0000000E+00    4.1437969E-03           14.000           17.538
 14       27538.3281250       24.4789982      201.5816193    6.1408162E-01    3.8591287E-01    5.5417345E-06    0.0000000E+00    1.1000346E-03           14.000           19.601
 15       26386.9648438       29.7279987      203.4447937    6.1408168E-01    3.8591290E-01    5.4301236E-06    0.0000000E+00    3.6279616E-04           14.000           21.503
 16       25255.7968750       35.9232483      204.9578247    6.1408168E-01    3.8591290E-01    5.4237557E-06    0.0000000E+00    4.4139716E-04           14.000           23.068
 17       24147.3671875       43.1937485      206.0733948    6.1408162E-01    3.8591290E-01    5.4764650E-06    0.0000000E+00    6.1325665E-04           14.000           24.196
 18       23064.3730469       51.6775017      206.7053070    6.1408162E-01    3.8591287E-01    5.5515898E-06    0.0000000E+00    9.7831746E-04           14.000           24.787
 19       22009.7246094       61.5204964      206.7662201    6.1408150E-01    3.8591284E-01    5.6360709E-06    0.0000000E+00    1.6082687E-03           14.000           24.754
 20       20986.1464844       72.8745041      206.3363647    6.1408150E-01    3.8591281E-01    5.7172101E-06    0.0000000E+00    4.5161680E-03           14.000           24.187
 21       19803.1796875       88.6832962      205.6361389    6.1408138E-01    3.8591275E-01    5.8218488E-06    0.0000000E+00    8.9629769E-02           14.000           23.318
 22       18498.5332031      110.1270981      206.1174011    6.1408103E-01    3.8591251E-01    6.4491119E-06    0.0000000E+00    5.0131446E-01           14.000           23.635
 23       17231.1386719      135.6111145      209.9428101    6.1407876E-01    3.8591108E-01    1.0147021E-05    0.0000000E+00    8.7143838E-01           14.000           27.544
 24       15985.2695312      165.5917358      216.2186279    6.1407149E-01    3.8590652E-01    2.1996288E-05    0.0000000E+00    1.3574558E+00           14.000           32.380
 25       14742.7666016      200.8624115      223.3738861    6.1405540E-01    3.8589635E-01    4.8303700E-05    0.0000000E+00    1.8722628E+00           14.000           36.221
 26       13494.9980469      242.3565063      230.5522003    6.1402655E-01    3.8587824E-01    9.5257245E-05    8.5898355E-02    2.7408240E+00           14.000           41.215
 27       12238.2412109      291.1721802      237.3336487    6.1398047E-01    3.8584930E-01    1.7025637E-04    2.7462785E+00    6.7250371E+00           14.000           50.058
 28       10970.9970703      348.6013184      243.6243439    6.1391181E-01    3.8580614E-01    2.8203864E-04    9.7139530E+00    8.1999931E+00           14.000           68.948
 29        9691.8193359      416.1636658      249.7215881    6.1380529E-01    3.8573924E-01    4.5541552E-04    2.5828363E+01    8.9775162E+00           14.000           94.569
 30        8398.3134766      495.6472778      255.8954163    6.1363637E-01    3.8563305E-01    7.3054712E-04    4.4394352E+01    6.7889900E+00           14.000          124.710
 31        7087.0053711      589.1556396      262.4808960    6.1335599E-01    3.8545686E-01    1.1871351E-03    5.6869015E+01    4.6771212E+00           14.000          164.355
 32        5753.5424805      699.1633301      269.6586304    6.1296976E-01    3.8521412E-01    1.8161095E-03    6.2019279E+01    2.6493583E+00           14.000          209.688
 33        4394.5849609      828.5817871      277.0054932    6.1251098E-01    3.8492584E-01    2.5631553E-03    5.5883614E+01    1.3887035E+00           14.000          229.993
 34        3129.7001953      966.9134521      283.2983093    6.1203802E-01    3.8462862E-01    3.3333118E-03    4.3772530E+01    2.8450325E-01           14.000          239.189
 35        2072.0458984     1097.5343018      287.5717773    6.1127669E-01    3.8415015E-01    4.5731817E-03    3.9448112E+01    2.0657778E-02           14.000          242.657
 36        1236.4970703     1211.7071533      289.7835999    6.1049771E-01    3.8366061E-01    5.8416501E-03    3.5536293E+01    2.8155077E-06           14.000          244.058
 37         630.0418091     1301.4951172      290.1826172    6.1010945E-01    3.8341656E-01    6.4740265E-03    3.5130455E+01    1.4995269E-20           14.000          244.747
 38         255.5681915     1360.2722168      288.9263916    6.0994476E-01    3.8331312E-01    6.7421086E-03    3.4092823E+01    1.8637918E-09           14.000          245.119
 39          63.0423775     1391.6262207      288.3612366    6.0988605E-01    3.8327625E-01    6.8376376E-03    2.3641829E+01    7.0530805E-05           14.000          245.215
