Simulation:  trappist1e_1barN2_0.4barCO2_aq
Description:        TRAPPIST-1e, 1 bar N2, 0.4 bar CO2
Description: HEMISPHERE MEAN profile, longitude ****
Description: mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
Description: pressure are total pressure (i.e  P_dry_air + P_h2o)
       surf press        surf temp      surf albedo        mw_dryair
     1404.2110596      284.7288513        0.1459557       32.5756416
lev           height(m)        press(mb)          temp(K)       N2 (kg/kg)      CO2 (kg/kg)      H2O (kg/kg)   liq_cld (g m-2)  ice_cld (g m-2)    reff_liq (µm)   reff_ice (µm)
  0       45398.6406250        0.9559475      178.2031555    6.1408246E-01    3.8591340E-01    4.1059657E-06    0.0000000E+00    7.1234716E-04           14.000            6.382
  1       44019.5234375        1.2447951      178.8017883    6.1408257E-01    3.8591346E-01    3.9946553E-06    0.0000000E+00    1.2046510E-03           14.000            6.399
  2       42659.4218750        1.6128501      180.0319214    6.1408257E-01    3.8591349E-01    3.9101114E-06    0.0000000E+00    2.0554732E-03           14.000            6.629
  3       41314.0156250        2.0793252      181.8680725    6.1408257E-01    3.8591349E-01    3.9257689E-06    0.0000000E+00    2.7055333E-03           14.000            7.123
  4       39980.2031250        2.6674249      184.0583191    6.1408252E-01    3.8591343E-01    4.0556411E-06    0.0000000E+00    2.7589980E-03           14.000            7.860
  5       38657.6054688        3.4048753      186.1942139    6.1408234E-01    3.8591334E-01    4.2872089E-06    0.0000000E+00    2.4634798E-03           14.000            8.744
  6       37348.1757812        4.3245749      188.0399933    6.1408222E-01    3.8591325E-01    4.5134825E-06    0.0000000E+00    2.2604698E-03           14.000            9.629
  7       36054.8671875        5.4653997      189.4754333    6.1408210E-01    3.8591319E-01    4.6953687E-06    0.0000000E+00    2.3000343E-03           14.000           10.382
  8       34780.7031250        6.8728499      190.5572510    6.1408198E-01    3.8591310E-01    4.8587513E-06    0.0000000E+00    2.7904520E-03           14.000           10.978
  9       33527.4804688        8.5997248      191.5571289    6.1408192E-01    3.8591307E-01    5.0035819E-06    0.0000000E+00    4.0784506E-03           14.000           11.556
