Simulation:  trappist1e_1barN2_0.4barCO2_aq
Description:        TRAPPIST-1e, 1 bar N2, 0.4 bar CO2
Description: HEMISPHERE MEAN profile, longitude ****
Description: mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
Description: pressure are total pressure (i.e  P_dry_air + P_h2o)
       surf press        surf temp      surf albedo        mw_dryair
     1401.2302246      296.6859131        0.1459557       32.5756416
lev           height(m)        press(mb)          temp(K)       N2 (kg/kg)      CO2 (kg/kg)      H2O (kg/kg)   liq_cld (g m-2)  ice_cld (g m-2)    reff_liq (µm)   reff_ice (µm)
  0       45393.3007812        0.9559475      181.3645020    6.1408246E-01    3.8591340E-01    4.1140097E-06    0.0000000E+00    5.4117560E-04           14.000            7.026
  1       43997.6328125        1.2447951      180.0348816    6.1408257E-01    3.8591343E-01    4.0038708E-06    0.0000000E+00    9.6015132E-04           14.000            6.582
  2       42633.6445312        1.6128501      179.8987579    6.1408257E-01    3.8591346E-01    3.9421443E-06    0.0000000E+00    2.4087031E-03           14.000            6.603
  3       41290.0429688        2.0793252      181.5274658    6.1408257E-01    3.8591343E-01    4.0207492E-06    0.0000000E+00    3.9422261E-03           14.000            7.023
  4       39958.5546875        2.6674249      183.7583618    6.1408240E-01    3.8591337E-01    4.2164606E-06    0.0000000E+00    4.9050502E-03           14.000            7.761
  5       38638.2734375        3.4048753      185.8488159    6.1408228E-01    3.8591325E-01    4.4881181E-06    0.0000000E+00    4.9504507E-03           14.000            8.613
  6       37331.7968750        4.3245749      187.5477448    6.1408210E-01    3.8591316E-01    4.7166295E-06    0.0000000E+00    4.8061302E-03           14.000            9.400
  7       36042.5039062        5.4653997      188.8046265    6.1408198E-01    3.8591310E-01    4.8756624E-06    0.0000000E+00    5.0786012E-03           14.000           10.026
  8       34773.2109375        6.8728499      189.7799377    6.1408192E-01    3.8591307E-01    5.0012500E-06    0.0000000E+00    6.1161364E-03           14.000           10.534
  9       33524.8984375        8.5997248      190.8332520    6.1408186E-01    3.8591301E-01    5.1174252E-06    0.0000000E+00    8.1975404E-03           14.000           11.122
 10       32296.0488281       10.7070494      192.3403931    6.1408180E-01    3.8591295E-01    5.2497380E-06    0.0000000E+00    9.4678029E-03           14.000           12.044
 11       31083.8046875       13.2647495      194.3959656    6.1408168E-01    3.8591290E-01    5.4042521E-06    0.0000000E+00    8.9595653E-03           14.000           13.439
 12       29886.3066406       16.3517513      196.7274323    6.1408162E-01    3.8591284E-01    5.5676655E-06    0.0000000E+00    8.1267338E-03           14.000           15.224
 13       28703.6660156       20.0567513      198.9951324    6.1408150E-01    3.8591281E-01    5.6645822E-06    0.0000000E+00    5.7783765E-03           14.000           17.173
 14       27537.2539062       24.4789982      201.0663910    6.1408156E-01    3.8591284E-01    5.6105905E-06    0.0000000E+00    2.9178120E-03           14.000           19.126
 15       26388.9003906       29.7279987      202.9019470    6.1408162E-01    3.8591287E-01    5.4812299E-06    0.0000000E+00    1.6696231E-03           14.000           20.968
 16       25260.6855469       35.9232483      204.4340057    6.1408168E-01    3.8591290E-01    5.4435786E-06    0.0000000E+00    1.5966976E-03           14.000           22.534
 17       24154.9648438       43.1937485      205.5909729    6.1408162E-01    3.8591287E-01    5.4888319E-06    0.0000000E+00    1.7057217E-03           14.000           23.698
 18       23074.3398438       51.6775017      206.2829590    6.1408162E-01    3.8591284E-01    5.5644791E-06    0.0000000E+00    1.9530091E-03           14.000           24.361
 19       22021.5937500       61.5204964      206.4401398    6.1408150E-01    3.8591281E-01    5.6466301E-06    0.0000000E+00    2.3950003E-03           14.000           24.448
 20       20999.2812500       72.8745041      206.1475067    6.1408150E-01    3.8591278E-01    5.7231387E-06    0.0000000E+00    4.2917300E-03           14.000           24.044
 21       19817.0429688       88.6770248      205.6706238    6.1408138E-01    3.8591275E-01    5.8324426E-06    0.0000000E+00    5.7536960E-02           14.000           23.420
 22       18512.7441406      110.1071854      206.1701660    6.1408103E-01    3.8591251E-01    6.4193728E-06    0.0000000E+00    4.4007885E-01           14.000           23.787
 23       17246.4531250      135.5751495      209.6954346    6.1407900E-01    3.8591126E-01    9.7274242E-06    0.0000000E+00    9.4462407E-01           14.000           27.362
 24       16003.7636719      165.5368958      215.5282135    6.1407256E-01    3.8590720E-01    2.0223857E-05    0.0000000E+00    1.3880363E+00           14.000           31.980
 25       14766.4462891      200.7853546      222.3588409    6.1405742E-01    3.8589767E-01    4.4889639E-05    0.0000000E+00    1.9686230E+00           14.000           35.614
 26       13524.8535156      242.2533112      229.4281158    6.1402786E-01    3.8587913E-01    9.2957023E-05    1.2491960E-01    3.0380583E+00           14.000           40.368
 27       12274.1240234      291.0382385      236.3018188    6.1397719E-01    3.8584724E-01    1.7553980E-04    3.2673693E+00    7.2202744E+00           14.000           48.486
 28       11011.7578125      348.4312134      242.8746338    6.1390293E-01    3.8580060E-01    2.9645715E-04    1.1710669E+01    8.6156330E+00           14.000           66.206
 29        9735.3222656      415.9509888      249.4643402    6.1378783E-01    3.8572824E-01    4.8391154E-04    3.5972416E+01    8.4662571E+00           14.000           92.592
 30        8442.1445312      495.3845520      256.0682983    6.1360598E-01    3.8561395E-01    7.8010617E-04    6.5932411E+01    5.5400171E+00           14.000          124.546
 31        7129.3393555      588.8339844      262.9396973    6.1335921E-01    3.8545892E-01    1.1818167E-03    6.6831543E+01    3.6230381E+00           14.000          166.193
 32        5793.0356445      698.7724609      270.3681335    6.1303592E-01    3.8525569E-01    1.7084117E-03    4.4551445E+01    1.6188308E+00           14.000          214.170
 33        4430.0078125      828.1093750      277.9619141    6.1264515E-01    3.8501015E-01    2.3446495E-03    2.8140097E+01    7.3960888E-01           14.000          234.319
 34        3160.4038086      966.3539429      284.4748840    6.1218095E-01    3.8471842E-01    3.1006287E-03    2.0326153E+01    1.6811219E-01           14.000          241.593
 35        2097.5756836     1096.8925781      289.2548218    6.1128497E-01    3.8415533E-01    4.5596953E-03    2.1559999E+01    1.5672855E-02           14.000          243.825
 36        1256.0231934     1210.9934082      292.3781128    6.1007142E-01    3.8339272E-01    6.5358100E-03    2.7978685E+01    2.8825375E-06           14.000          244.708
 37         642.8366699     1300.7248535      294.3170166    6.0875988E-01    3.8256845E-01    8.6716842E-03    3.7152729E+01    2.0236531E-20           14.000          245.330
 38         261.9343567     1359.4648438      295.4873962    6.0798562E-01    3.8208190E-01    9.9325050E-03    3.3911003E+01    1.2806477E-21           14.000          245.610
 39          64.7567596     1390.7995605      296.2029724    6.0773510E-01    3.8192445E-01    1.0340476E-02    1.8939928E+01    1.1724693E-05           14.000          245.666
