Simulation:  trappist1e_1barN2_0.4barCO2_aq
Description:        TRAPPIST-1e, 1 bar N2, 0.4 bar CO2
Description: HEMISPHERE MEAN profile, longitude ****
Description: mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
Description: pressure are total pressure (i.e  P_dry_air + P_h2o)
       surf press        surf temp      surf albedo        mw_dryair
     1406.4252930      284.0278320        0.1459557       32.5756416
lev           height(m)        press(mb)          temp(K)       N2 (kg/kg)      CO2 (kg/kg)      H2O (kg/kg)   liq_cld (g m-2)  ice_cld (g m-2)    reff_liq (µm)   reff_ice (µm)
  0       45297.6757812        0.9559475      177.3025665    6.1408246E-01    3.8591340E-01    4.0842165E-06    0.0000000E+00    1.3920012E-03           14.000            6.203
  1       43926.8085938        1.2447951      177.5850525    6.1408257E-01    3.8591346E-01    3.9560632E-06    0.0000000E+00    2.0689606E-03           14.000            6.238
  2       42577.1562500        1.6128501      178.5079498    6.1408257E-01    3.8591352E-01    3.8674393E-06    0.0000000E+00    4.2681419E-03           14.000            6.401
  3       41243.6328125        2.0793252      180.2023926    6.1408257E-01    3.8591349E-01    3.9131965E-06    0.0000000E+00    6.4201737E-03           14.000            6.741
  4       39921.9492188        2.6674249      182.3945618    6.1408246E-01    3.8591343E-01    4.0834439E-06    0.0000000E+00    7.0389695E-03           14.000            7.326
  5       38610.6093750        3.4048753      184.6975403    6.1408234E-01    3.8591331E-01    4.3375712E-06    0.0000000E+00    6.4536128E-03           14.000            8.148
  6       37310.5468750        4.3245749      186.8441467    6.1408222E-01    3.8591322E-01    4.5730935E-06    0.0000000E+00    5.5050906E-03           14.000            9.082
  7       36024.1875000        5.4653997      188.6256866    6.1408210E-01    3.8591316E-01    4.7462099E-06    0.0000000E+00    4.9043158E-03           14.000            9.958
  8       34754.7031250        6.8728499      189.9979553    6.1408198E-01    3.8591310E-01    4.8810439E-06    0.0000000E+00    4.8992313E-03           14.000           10.682
  9       33504.5546875        8.5997248      191.1699219    6.1408192E-01    3.8591307E-01    5.0025742E-06    0.0000000E+00    5.5647600E-03           14.000           11.338
